"year","familysize","child","threshold"
2014,1,"0","12316"
2014,2,"0","15853"
2014,2,"1","16317"
2014,3,"0","18518"
2014,3,"1","19055"
2014,3,"2","19073"
2014,4,"0","24418"
2014,4,"1","24817"
2014,4,"2","24008"
2014,4,"3","24091"
2014,5,"0","29447"
2014,5,"1","29875"
2014,5,"2","28960"
2014,5,"3","28252"
2014,5,"4","27820"
2014,6,"0","33869"
2014,6,"1","34004"
2014,6,"2","33303"
2014,6,"3","32631"
2014,6,"4","31633"
2014,6,"5","31041"
2014,7,"0","38971"
2014,7,"1","39214"
2014,7,"2","38375"
2014,7,"3","37791"
2014,7,"4","36701"
2014,7,"5","35431"
2014,7,"6","34036"
2014,8,"0","43586"
2014,8,"1","43970"
2014,8,"2","43179"
2014,8,"3","42485"
2014,8,"4","41501"
2014,8,"5","40252"
2014,8,"6","38953"
2014,8,"7","38622"
2014,9,"0","52430"
2014,9,"1","52685"
2014,9,"2","51984"
2014,9,"3","51396"
2014,9,"4","50430"
2014,9,"5","49101"
2014,9,"6","47899"
2014,9,"7","47601"
2014,9,"8","45768"
2015,1,"0","12331"
2015,2,"0","15871"
2015,2,"1","16337"
2015,3,"0","18540"
2015,3,"1","19078"
2015,3,"2","19096"
2015,4,"0","24447"
2015,4,"1","24847"
2015,4,"2","24036"
2015,4,"3","24120"
2015,5,"0","29482"
2015,5,"1","29911"
2015,5,"2","28995"
2015,5,"3","28286"
2015,5,"4","27853"
2015,6,"0","33909"
2015,6,"1","34044"
2015,6,"2","33342"
2015,6,"3","32670"
2015,6,"4","31670"
2015,6,"5","31078"
2015,7,"0","39017"
2015,7,"1","39260"
2015,7,"2","38421"
2015,7,"3","37835"
2015,7,"4","36745"
2015,7,"5","35473"
2015,7,"6","34077"
2015,8,"0","43637"
2015,8,"1","44023"
2015,8,"2","43230"
2015,8,"3","42536"
2015,8,"4","41551"
2015,8,"5","40300"
2015,8,"6","38999"
2015,8,"7","38668"
2015,9,"0","52493"
2015,9,"1","52747"
2015,9,"2","52046"
2015,9,"3","51457"
2015,9,"4","50490"
2015,9,"5","49159"
2015,9,"6","47956"
2015,9,"7","47658"
2015,9,"8","45822"
2016,1,"0","12486"
2016,2,"0","16072"
2016,2,"1","16543"
2016,3,"0","18774"
2016,3,"1","19318"
2016,3,"2","19337"
2016,4,"0","24755"
2016,4,"1","25160"
2016,4,"2","24339"
2016,4,"3","24424"
2016,5,"0","29854"
2016,5,"1","30288"
2016,5,"2","29360"
2016,5,"3","28643"
2016,5,"4","28205"
2016,6,"0","34337"
2016,6,"1","34473"
2016,6,"2","33763"
2016,6,"3","33082"
2016,6,"4","32070"
2016,6,"5","31470"
2016,7,"0","39509"
2016,7,"1","39756"
2016,7,"2","38905"
2016,7,"3","38313"
2016,7,"4","37208"
2016,7,"5","35920"
2016,7,"6","34507"
2016,8,"0","44188"
2016,8,"1","44578"
2016,8,"2","43776"
2016,8,"3","43072"
2016,8,"4","42075"
2016,8,"5","40809"
2016,8,"6","39491"
2016,8,"7","39156"
2016,9,"0","53155"
2016,9,"1","53413"
2016,9,"2","52702"
2016,9,"3","52106"
2016,9,"4","51127"
2016,9,"5","49779"
2016,9,"6","48561"
2016,9,"7","48259"
2016,9,"8","46400"
2017,1,"0","12752"
2017,2,"0","16414"
2017,2,"1","16895"
2017,3,"0","19173"
2017,3,"1","19730"
2017,3,"2","19749"
2017,4,"0","25283"
2017,4,"1","25696"
2017,4,"2","24858"
